sentence,label,clean-sentence
Han wo bhi baat hai ,1,han wo bhi baat hai
"its not #unionbudget2015 its #buredinkabudget khana, cmputr, kapde, ghar sab mehenga. bewakuf bnaya sirf inhone",0,"its not #unionbudget<NUM> its #buredinkabudget khana, cmputr, kapde, ghar sab mehenga. bewakuf bnaya sirf inhone"
public movie review :- shamitabh #shamitabh #amitabhbachchan #moviereview http://t.co/xm7hsgfll6,1,public movie review :- shamitabh #shamitabh #amitabhbachchan #moviereview http://t.co/xm<NUM>hsgfll<NUM>
ok,1,ok
kachhua sir toh students ke pakke wale dushman hain .  .  .  .  .  .  .  :@,0,kachhua sir toh students ke pakke wale dushman hain . . . . . . . :@
salmaan khan tumhare naam k pichey khan accha nahi lagtahai hata de muslaman ke naam ko jo itna hi bura kagta hai islamic dharm to abhi chod de zarurat nahi hai tumhari islaam ko,0,salmaan khan tumhare naam k pichey khan accha nahi lagtahai hata de muslaman ke naam ko jo itna hi bura kagta hai islamic dharm to abhi chod de zarurat nahi hai tumhari islaam ko
bhaijaan thagaye hoghaey itne saare comments dekkar bhaijaan abhi online mein hai,1,bhaijaan thagaye hoghaey itne saare comments dekkar bhaijaan abhi online mein hai
Bajrangi Bhai hamse bhi guftgu kar liya karo........,2,bajrangi bhai hamse bhi guftgu kar liya karo........
"Uhhh what ever happened to the \ "" this page is dedicated to quality confessions\ "" motto ? I thought stuff like this made its way to the other confessions page ... ",1,"uhhh what ever happened to the \ "" this page is dedicated to quality confessions\ "" motto ? i thought stuff like this made its way to the other confessions page ..."
koi mujhe bataega du colleges ke form ki cutt off kab aayegi,2,koi mujhe bataega du colleges ke form ki cutt off kab aayegi
Kuch  nhi  launde  ..  Bas  thodi  bahut  holi ,1,kuch nhi launde .. bas thodi bahut holi
Kon h Bhai ? ,0,kon h bhai ?
acha ji  .  .  .  .  aisa kya  ?  ?  ?  ?  bt we wer nt lyk dt knd f seniors  .  .  .  .  i mean hum to aise ni the  .  .  .  .  :-d  .  .  . ,2,acha ji . . . . aisa kya ? ? ? ? bt we wer nt lyk dt knd f seniors . . . . i mean hum to aise ni the . . . . :-d . . .
aap manifesto speaks a lot about your vision of delhi . go ahead may god bless you to fulfill peoples dream . ,2,aap manifesto speaks a lot about your vision of delhi . go ahead may god bless you to fulfill peoples dream .
Aur suna ,1,aur suna
i remember it happen in my place also koi apni jagah se nahin hilega,0,i remember it happen in my place also koi apni jagah se nahin hilega
so pls ,0,so pls
#79   I have had a couple of hot makeout sessions in a corner of the liby journal section with different guys . It was weird as recently we saw another couple using our favored spot . WTF seriously ?!!?!?! ,0,#<NUM> i have had a couple of hot makeout sessions in a corner of the liby journal section with different guys . it was weird as recently we saw another couple using our favored spot . wtf seriously ?!!?!?!
agr tu itna handsome h to vo bechaariya milte he ignore kyu krne lgi ???? -_- ,1,agr tu itna handsome h to vo bechaariya milte he ignore kyu krne lgi ???? -_-
Bhai jaha fayeda ho vaha pe ladies first vala formula lagu ho jata hai ;p . According to the time change ho jati hai ye .. ,1,bhai jaha fayeda ho vaha pe ladies first vala formula lagu ho jata hai ;p . according to the time change ho jati hai ye ..
greenbrier &amp; summers counties have just been placed under a winter storm watch for monday night through tuesday .  .  .  http/URL,2,greenbrier &amp; summers counties have just been placed under a winter storm watch for monday night through tuesday . . . http/url
pata h murena ka h ye pic,1,pata h murena ka h ye pic
'bhagwan hai kahan re tu song hd pk movie 2014 http://t.co/06cahr2aui,1,'bhagwan hai kahan re tu song hd pk movie <NUM> http://t.co/<NUM>cahr<NUM>aui
@msgthefilm @gurmeetramrahim #msgyouthicon we agree to clean dirt,1,@msgthefilm @gurmeetramrahim #msgyouthicon we agree to clean dirt
july 8th .  .  .  it's goin down at dar constitution hall .  .  .  i'm gonna make this last part rhyme .  .  .  mb y'all !  !  !  !  ! ,1,july <NUM>th . . . it's goin down at dar constitution hall . . . i'm gonna make this last part rhyme . . . mb y'all ! ! ! ! !
Ha dharamshala me hain ,1,ha dharamshala me hain
Salman apke fans pahle apka dharm nhi.....apke Indian pahle hone ki vajah se pasand karte h. Aur apke sbhi chahne wale ka koi bi dharm ho.salman aap Hiro ho unke,2,salman apke fans pahle apka dharm nhi.....apke indian pahle hone ki vajah se pasand karte h. aur apke sbhi chahne wale ka koi bi dharm ho.salman aap hiro ho unke
Asslamualeykum bhai jaan,2,asslamualeykum bhai jaan
modi ji black money 100 din me aanewala tha ?   ?  ?  ? ,1,modi ji black money <NUM> din me aanewala tha ? ? ? ?
virat &amp; raina are on fire!!!!:d #goindiago #indvspak,2,virat &amp; raina are on fire!!!!:d #goindiago #indvspak
Sale salman khan abki dekhna hai ki teri pic kaise hit hogi bina muslim ke sale tum log muslim per daag ho,0,sale salman khan abki dekhna hai ki teri pic kaise hit hogi bina muslim ke sale tum log muslim per daag ho
sharma 2 dhawan- dekh bhai baki ke 101 mujhe banane hai tu ruk ja aaj #indvsuae #sharmajirocksss,1,sharma <NUM> dhawan- dekh bhai baki ke <NUM> mujhe banane hai tu ruk ja aaj #indvsuae #sharmajirocksss
ha ha ha ha ha ha ha .  .  .  .  . :d ye mast tha .  .  .  . cute aur comic .  .  .  . :),2,ha ha ha ha ha ha ha . . . . . :d ye mast tha . . . . cute aur comic . . . . :)
okkk ,1,okkk
"10 things to know for friday: the u . s .  postal service ,  on the brink of default on a second multibillion-dollar p .  .  .  http/URL",2,"<NUM> things to know for friday: the u . s . postal service , on the brink of default on a second multibillion-dollar p . . . http/url"
yaar woh toh bahut importantg courseg hai ,1,yaar woh toh bahut importantg courseg hai
mummy ko pta hota tha ye sab .  .  . ,2,mummy ko pta hota tha ye sab . . .
broom's sweep builds delhi's hope! #aapsweep,2,broom's sweep builds delhi's hope! #aapsweep
Allah kare ki app ki film bajrangi bhaijaan south therator mey reliz ho jaye,0,allah kare ki app ki film bajrangi bhaijaan south therator mey reliz ho jaye
ye mauka mauka wali advertise kabi aayi maine toh abhi dekhi hai just .  .  .  .  . :d,1,ye mauka mauka wali advertise kabi aayi maine toh abhi dekhi hai just . . . . . :d
i am seriously amazed at detailing the artist has put through .  .  .  .  .  . ,2,i am seriously amazed at detailing the artist has put through . . . . . .
haha superb .  .  .  . ,2,haha superb . . . .
Abhi  chalenge ,1,abhi chalenge
4 pm ho gye bhai,1,<NUM> pm ho gye bhai
Kidar wait krna h ? ,1,kidar wait krna h ?
supw ki aisi ki taisi :-d kavi marks add toh hue nahi,0,supw ki aisi ki taisi :-d kavi marks add toh hue nahi
"dont be so sure  .  for all you know  ,  his webcam may be on and you may be famous on youtube already  ! ",2,"dont be so sure . for all you know , his webcam may be on and you may be famous on youtube already !"
bhai decide kro ,1,bhai decide kro
Biased ho ladkiyp ki taraf😡 ,1,biased ho ladkiyp ki taraf😡
desk pe bag taang rkkhi h .  .  .  i used 2 do d same :p,2,desk pe bag taang rkkhi h . . . i used <NUM> do d same :p
@someUSER 1win from the superbowl !  game tomorrow at noon !  git r done !  http/URL,2,@someuser <NUM>win from the superbowl ! game tomorrow at noon ! git r done ! http/url
apko ana padega,1,apko ana padega
le aaya main ,0,le aaya main
Sallu miya wonder ful,2,sallu miya wonder ful
beta agr aisi hi achi life chahta hai to ladkiyo k chakkar me mt padiyo . kutta bna deti hain . ,0,beta agr aisi hi achi life chahta hai to ladkiyo k chakkar me mt padiyo . kutta bna deti hain .
I love u salman khan ek bar apsa milna cahti hu ya mara sapna ha bas ek bar love u love u love u love u love u so mach salman khan,2,i love u salman khan ek bar apsa milna cahti hu ya mara sapna ha bas ek bar love u love u love u love u love u so mach salman khan
Toh late kahan khaya tha ,1,toh late kahan khaya tha
na na ... tum bahut chu .. panti ki harkat kiye  P  D ,0,na na ... tum bahut chu .. panti ki harkat kiye p d
@darkmystel @keisar_ wrong.....everybody would have been fearless and more courageous. #beefban,2,@darkmystel @keisar_ wrong.....everybody would have been fearless and more courageous. #beefban
The Logical Indian Kuch bhi likhte ho .. ek bar soch bhi liya kro likhne se pehle,0,the logical indian kuch bhi likhte ho .. ek bar soch bhi liya kro likhne se pehle
drew peterson is no longer #untouchable !  tune in for the lifetime original movie sunday at 7/6c on @someUSER http/URL,1,drew peterson is no longer #untouchable ! tune in for the lifetime original movie sunday at <NUM>/<NUM>c on @someuser http/url
