sentence,label
Han wo bhi baat hai,1
"its not #unionbudget2015 its #buredinkabudget khana, cmputr, kapde, ghar sab mehenga. bewakuf bnaya sirf inhone",0
public movie review :- shamitabh #shamitabh #amitabhbachchan #moviereview http://t.co/xm7hsgfll6,1
ok,1
salmaan khan tumhare naam k pichey khan accha nahi lagtahai hata de muslaman ke naam ko jo itna hi bura kagta hai islamic dharm to abhi chod de zarurat nahi hai tumhari islaam ko,0
bhaijaan thagaye hoghaey itne saare comments dekkar bhaijaan abhi online mein hai,1
mummy jabb apne kisi dost ko nick name se bulati hai to kitta mazaa aata haii,1
bas kar rulayega kya . . . . .,1
Bajrangi Bhai hamse bhi guftgu kar liya karo........,2
"Uhhh what ever happened to the \ "" this page is dedicated to quality confessions\ "" motto ? I thought stuff like this made its way to the other confessions page ...",1
koi mujhe bataega du colleges ke form ki cutt off kab aayegi,2
Kon h Bhai ?,0
acha ji . . . . aisa kya ? ? ? ? bt we wer nt lyk dt knd f seniors . . . . i mean hum to aise ni the . . . . :-d . . .,2
aap manifesto speaks a lot about your vision of delhi . go ahead may god bless you to fulfill peoples dream .,2
Maine bola h ki se le liyo,1
Aur suna,1
uske baap ko mobile ki factory tha kya .,1
so pls,0
#79 I have had a couple of hot makeout sessions in a corner of the liby journal section with different guys . It was weird as recently we saw another couple using our favored spot . WTF seriously ?!!?!?!,0
agr tu itna handsome h to vo bechaariya milte he ignore kyu krne lgi ???? -_-,1
Bhai jaha fayeda ho vaha pe ladies first vala formula lagu ho jata hai ;p . According to the time change ho jati hai ye ..,1
greenbrier &amp; summers counties have just been placed under a winter storm watch for monday night through tuesday . . . http/URL,2
pata h murena ka h ye pic,1
july 8th . . . it's goin down at dar constitution hall . . . i'm gonna make this last part rhyme . . . mb y'all ! ! ! ! !,1
Ha dharamshala me hain,1
Salman apke fans pahle apka dharm nhi.....apke Indian pahle hone ki vajah se pasand karte h. Aur apke sbhi chahne wale ka koi bi dharm ho.salman aap Hiro ho unke,2
Asslamualeykum bhai jaan,2
Sale salman khan abki dekhna hai ki teri pic kaise hit hogi bina muslim ke sale tum log muslim per daag ho,0
Bhai aaap ki Sab say aache film kon si hai .,1
sharma 2 dhawan- dekh bhai baki ke 101 mujhe banane hai tu ruk ja aaj #indvsuae #sharmajirocksss,1
okkk,1
broom's sweep builds delhi's hope! #aapsweep,2
Allah kare ki app ki film bajrangi bhaijaan south therator mey reliz ho jaye,0
i am seriously amazed at detailing the artist has put through . . . . . .,2
haha superb . . . .,2
Abhi chalenge,1
4 pm ho gye bhai,1
Manage kar lenge sab,1
Kidar wait krna h ?,1
supw ki aisi ki taisi :-d kavi marks add toh hue nahi,0
"dont be so sure . for all you know , his webcam may be on and you may be famous on youtube already !",2
bhai decide kro,1
desk pe bag taang rkkhi h . . . i used 2 do d same :p,2
le aaya main,0
I love u salman khan ek bar apsa milna cahti hu ya mara sapna ha bas ek bar love u love u love u love u love u so mach salman khan,2
Toh late kahan khaya tha,1
"on tuesday , the theatres open at ten o'clock in the morning , as lent begins after eight at night . on tuesday , all those who through want",2
na na ... tum bahut chu .. panti ki harkat kiye P D,0
brook lopez the 2nd best offensive center in the nba he not ass,2
@darkmystel @keisar_ wrong.....everybody would have been fearless and more courageous. #beefban,2
The Logical Indian Kuch bhi likhte ho .. ek bar soch bhi liya kro likhne se pehle,0
waah todi or request krke dekho tb bhi nhi dekhai dege salman bhai,1
drew peterson is no longer #untouchable ! tune in for the lifetime original movie sunday at 7/6c on @someUSER http/URL,1
Mein smja nahi,1
#railbudget2015 speed or nai train na suru karne ke alawa kuch khas nhi raha ... maalgadiyo ki tarf koi khas dhyan nhi diya gaya,0
i should've been guarding parker on that last play . he may have scored but i bet i would've been on the right side of the court .,1
austin rivers just scored his 1st nba points with 6:48 left in the 4th you running with the big boys now son (my doc rivers voice),1
